agegrp,indig_status,legal_status,sex,state,quarter,quart,year,avg_nightly_pop
10 to 17,Total,Unsentenced,Male,NSW,Jun qtr 2008,Jun,2008,202
10 to 17,Total,Unsentenced,Male,NSW,Sep qtr 2008,Sep,2008,197
10 to 17,Total,Unsentenced,Male,NSW,Dec qtr 2008,Dec,2008,196
10 to 17,Total,Unsentenced,Male,NSW,Mar qtr 2009,Mar,2009,177
10 to 17,Total,Unsentenced,Male,NSW,Jun qtr 2009,Jun,2009,166
10 to 17,Total,Unsentenced,Male,NSW,Sep qtr 2009,Sep,2009,155
10 to 17,Total,Unsentenced,Male,NSW,Dec qtr 2009,Dec,2009,175
10 to 17,Total,Unsentenced,Male,NSW,Mar qtr 2010,Mar,2010,165
10 to 17,Total,Unsentenced,Male,NSW,Jun qtr 2010,Jun,2010,170
10 to 17,Total,Unsentenced,Male,NSW,Sep qtr 2010,Sep,2010,155
10 to 17,Total,Unsentenced,Male,NSW,Dec qtr 2010,Dec,2010,139
10 to 17,Total,Unsentenced,Male,NSW,Mar qtr 2011,Mar,2011,169
10 to 17,Total,Unsentenced,Male,NSW,Jun qtr 2011,Jun,2011,163
10 to 17,Total,Unsentenced,Male,NSW,Sep qtr 2011,Sep,2011,152
10 to 17,Total,Unsentenced,Male,NSW,Dec qtr 2011,Dec,2011,135
10 to 17,Total,Unsentenced,Male,NSW,Mar qtr 2012,Mar,2012,140
10 to 17,Total,Unsentenced,Male,NSW,Jun qtr 2012,Jun,2012,150
10 to 17,Total,Unsentenced,Male,NSW,Sep qtr 2012,Sep,2012,129
10 to 17,Total,Unsentenced,Male,NSW,Dec qtr 2012,Dec,2012,119
10 to 17,Total,Unsentenced,Male,NSW,Mar qtr 2013,Mar,2013,131
10 to 17,Total,Unsentenced,Male,NSW,Jun qtr 2013,Jun,2013,129
10 to 17,Total,Unsentenced,Male,NSW,Sep qtr 2013,Sep,2013,120
10 to 17,Total,Unsentenced,Male,NSW,Dec qtr 2013,Dec,2013,121
10 to 17,Total,Unsentenced,Male,NSW,Mar qtr 2014,Mar,2014,143
10 to 17,Total,Unsentenced,Male,NSW,Jun qtr 2014,Jun,2014,118
10 to 17,Total,Unsentenced,Male,NSW,Sep qtr 2014,Sep,2014,87
10 to 17,Total,Unsentenced,Male,NSW,Dec qtr 2014,Dec,2014,100
10 to 17,Total,Unsentenced,Male,NSW,Mar qtr 2015,Mar,2015,115
10 to 17,Total,Unsentenced,Male,NSW,Jun qtr 2015,Jun,2015,113
10 to 17,Total,Unsentenced,Male,NSW,Sep qtr 2015,Sep,2015,118
10 to 17,Total,Unsentenced,Male,NSW,Dec qtr 2015,Dec,2015,110
10 to 17,Total,Unsentenced,Male,NSW,Mar qtr 2016,Mar,2016,122
10 to 17,Total,Unsentenced,Male,NSW,Jun qtr 2016,Jun,2016,126
10 to 17,Total,Unsentenced,Male,Vic,Jun qtr 2008,Jun,2008,38
10 to 17,Total,Unsentenced,Male,Vic,Sep qtr 2008,Sep,2008,36
10 to 17,Total,Unsentenced,Male,Vic,Dec qtr 2008,Dec,2008,26
10 to 17,Total,Unsentenced,Male,Vic,Mar qtr 2009,Mar,2009,38
10 to 17,Total,Unsentenced,Male,Vic,Jun qtr 2009,Jun,2009,36
10 to 17,Total,Unsentenced,Male,Vic,Sep qtr 2009,Sep,2009,36
